Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#66 , 77eV         ,     902615,   902615, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#64 , 77eV         ,     902616,   902616, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#65 , 77eV         ,     902617,   902617, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#66 , 77eV         ,     902618,   902618, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#67 , 76eV         ,     902619,   902619, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#68 , 76eV         ,     902620,   902620, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#69 , 76eV         ,     902621,   902621, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Resistsnace change     ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#70 , 76eV         ,     902623,   902622, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#71 , 76eV         ,     902624,   902623, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#72 , 76eV         ,     902625,   902624, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
X scan Sample 2#1      , 76eV         ,     902713,   902901, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
Meaning data           ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#73 , 76eV         ,     903470,   903470, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#74 , 76eV         ,     903471,   903471, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#75 , 76eV         ,     903472,   903472, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#76 , 76eV         ,     903474,   903474, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#77 , 76eV         ,     903475,   903475, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#78 , 76eV         ,     903476,   903476, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#79 , 76eV         ,     903477,   903477, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#80 , 76eV         ,     903478,   903478, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#81 , 76eV         ,     903479,   903479, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#82 , 76eV         ,     903480,   903480, FeCo/CuO/SiO2      , 0           ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#83 , 76eV         ,     903481,   903481, FeCo/CuO/SiO2      , 0           ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#84 , 76eV         ,     903482,   903482, FeCo/CuO/SiO2      , 0           ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#85 , 76eV         ,     903483,   903483, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#86 , 76eV         ,     903484,   903484, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#87 , 76eV         ,     903485,   903485, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#88 , 76eV         ,     903486,   903486, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#89 , 76eV         ,     903487,   903487, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#90 , 76eV         ,     903488,   903488, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#91 , 76eV         ,     903489,   903489, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#92 , 76eV         ,     903490,   903490, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#93 , 76eV         ,     903491,   903491, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#94 , 76eV         ,     903492,   903492, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#95 , 76eV         ,     903493,   903493, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
